epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1137,1.62214,3.66542,1.27935,0.00037,0.03505,0.00017,5e-05,1.88603,33.0876,2.34382,0.0784,0.0024,0.0024
2,26.2361,1.41192,1.87463,1.21086,0.00037,0.03505,0.00017,5e-05,3.99998,inf,36.9525,0.055706,0.00470596,0.00470596
3,33.7777,1.29856,1.61271,1.16867,0.0093,0.10722,0.00197,0.00118,1.73401,inf,1.71619,0.0328139,0.00681392,0.00681392
4,41.614,1.27934,1.48334,1.17868,0.11458,0.23771,0.11478,0.06978,1.32607,inf,1.2528,0.00972388,0.00872388,0.00872388
5,49.4863,1.24231,1.43026,1.13508,0.25255,0.35859,0.24478,0.12843,1.67253,2.99381,1.5034,0.008416,0.008416,0.008416
6,58.344,1.18086,1.33978,1.11133,0.3359,0.34219,0.2104,0.12405,1.42,3.98847,1.30745,0.00802,0.00802,0.00802
7,66.0153,1.11576,1.25386,1.08323,0.42491,0.67239,0.501,0.32595,1.18347,1.51431,1.20088,0.007624,0.007624,0.007624
8,74.0474,1.08761,1.21796,1.05829,0.48098,0.30984,0.30212,0.20224,1.10835,3.59189,1.1226,0.007228,0.007228,0.007228
9,82.1699,1.08804,1.17244,1.04713,0.50149,0.43587,0.38871,0.25874,1.24687,1.96827,1.16725,0.006832,0.006832,0.006832
10,89.9401,1.07352,1.14247,1.0587,0.50709,0.69024,0.62203,0.44644,0.98535,1.47312,1.07099,0.006436,0.006436,0.006436
11,98.0136,1.03982,1.09737,1.03955,0.63161,0.67558,0.68627,0.48376,1.05239,1.16251,1.11001,0.00604,0.00604,0.00604
12,105.788,1.05621,1.04442,1.05001,0.63579,0.70335,0.67873,0.48931,1.01397,1.2209,1.05707,0.005644,0.005644,0.005644
13,113.629,1.02143,1.03681,1.03345,0.61515,0.67059,0.66435,0.46956,1.07087,1.28661,1.06777,0.005248,0.005248,0.005248
14,121.48,0.98895,0.95238,1.00816,0.68187,0.72804,0.75144,0.53818,1.00081,0.9711,1.05663,0.004852,0.004852,0.004852
15,129.349,0.95243,0.93703,1.00862,0.72972,0.69657,0.78301,0.52781,1.12105,1.03378,1.12052,0.004456,0.004456,0.004456
16,167.04,0.88993,0.88665,1.00012,0.75572,0.64686,0.73334,0.52083,1.05773,1.08015,1.08423,0.00406,0.00406,0.00406
17,175.439,0.90944,0.85568,0.99407,0.69724,0.74544,0.79928,0.58581,0.97144,0.91254,1.02982,0.003664,0.003664,0.003664
18,183.143,0.87908,0.81726,0.99832,0.74209,0.68924,0.82038,0.62289,0.93011,0.90709,1.02196,0.003268,0.003268,0.003268
19,190.813,0.87038,0.7797,0.97558,0.7421,0.77211,0.84653,0.65382,0.86768,0.83618,0.98696,0.002872,0.002872,0.002872
20,198.594,0.83373,0.74579,0.96362,0.8038,0.75215,0.86417,0.63701,0.98395,0.79467,1.03095,0.002476,0.002476,0.002476
21,206.343,0.84728,0.72683,0.97035,0.85289,0.79984,0.89447,0.68666,0.87504,0.70149,0.98842,0.00208,0.00208,0.00208
22,214.109,0.80906,0.69404,0.95173,0.80048,0.83774,0.88824,0.70689,0.81576,0.71475,0.95916,0.001684,0.001684,0.001684
23,221.9,0.79087,0.67109,0.93861,0.80859,0.8829,0.89322,0.71201,0.80158,0.65452,0.95784,0.001288,0.001288,0.001288
24,229.682,0.78537,0.6328,0.933,0.78065,0.86316,0.90802,0.72191,0.80762,0.68022,0.95694,0.000892,0.000892,0.000892
25,237.492,0.75529,0.60627,0.93189,0.87513,0.85424,0.91509,0.72473,0.81544,0.63166,0.96442,0.000496,0.000496,0.000496
